Kategori: Alla kategorier

Månad,crime: (San Francisco-Oakland-San Jose CA)
2004-01,93
2004-02,75
2004-03,84
2004-04,66
2004-05,80
2004-06,62
2004-07,80
2004-08,69
2004-09,67
2004-10,69
2004-11,69
2004-12,72
2005-01,72
2005-02,78
2005-03,73
2005-04,76
2005-05,72
2005-06,65
2005-07,60
2005-08,65
2005-09,64
2005-10,60
2005-11,76
2005-12,77
2006-01,62
2006-02,67
2006-03,72
2006-04,75
2006-05,85
2006-06,56
2006-07,58
2006-08,63
2006-09,64
2006-10,74
2006-11,67
2006-12,62
2007-01,65
2007-02,68
2007-03,62
2007-04,75
2007-05,65
2007-06,70
2007-07,60
2007-08,56
2007-09,68
2007-10,62
2007-11,66
2007-12,59
2008-01,54
2008-02,59
2008-03,61
2008-04,64
2008-05,67
2008-06,56
2008-07,57
2008-08,61
2008-09,64
2008-10,53
2008-11,56
2008-12,52
2009-01,55
2009-02,58
2009-03,62
2009-04,64
2009-05,59
2009-06,54
2009-07,51
2009-08,51
2009-09,52
2009-10,53
2009-11,52
2009-12,44
2010-01,44
2010-02,45
2010-03,51
2010-04,52
2010-05,50
2010-06,45
2010-07,40
2010-08,39
2010-09,39
2010-10,44
2010-11,41
2010-12,40
2011-01,74
2011-02,69
2011-03,65
2011-04,71
2011-05,77
2011-06,70
2011-07,72
2011-08,79
2011-09,78
2011-10,77
2011-11,69
2011-12,70
2012-01,73
2012-02,73
2012-03,77
2012-04,76
2012-05,75
2012-06,72
2012-07,84
2012-08,78
2012-09,79
2012-10,76
2012-11,76
2012-12,83
2013-01,94
2013-02,96
2013-03,94
2013-04,89
2013-05,90
2013-06,83
2013-07,80
2013-08,82
2013-09,79
2013-10,76
2013-11,83
2013-12,74
2014-01,76
2014-02,82
2014-03,81
2014-04,84
2014-05,82
2014-06,78
2014-07,79
2014-08,81
2014-09,85
2014-10,81
2014-11,88
2014-12,76
2015-01,85
2015-02,83
2015-03,100
2015-04,89
2015-05,88
